Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-12-18,"2,115","5,327",3.34,4,733,283,0,0,892
2020-12-19,"2,128","7,104",5.01,10,684,279,6,16,941
2020-12-20,"2,239","6,174",4.35,3,631,330,0,0,"1,069"
2020-12-21,"2,088","5,752",4.03,10,699,304,0,0,909
2020-12-22,"2,133","6,018",4.24,9,640,323,0,0,963
2020-12-23,"1,979","4,728",3.33,6,739,239,8,4,759
2020-12-24,"2,359","9,572",6.75,4,483,435,0,0,"1,324"
2020-12-25,"1,904","2,624",1.85,4,625,179,7,6,633
2020-12-26,"2,037","4,822",3.4,2,622,300,0,0,852
2020-12-27,"2,054","5,540",3.91,0,701,284,0,0,841
2020-12-28,"1,912","3,663",2.58,2,687,209,11,0,658
2020-12-29,"1,979","4,043",2.85,1,688,237,0,0,721
2020-12-30,"1,772","2,906",2.05,0,697,175,0,0,486
2020-12-31,"1,532",729,0.51,0,611,53,0,0,148
2021-01-01,"1,634","1,636",1.15,2,"1,211",97,0,0,290
2021-01-02,"1,881","7,536",5.31,1,583,74,21,41,567
2021-01-03,"1,973","7,004",4.94,2,694,130,26,28,693
2021-01-04,"1,722","1,725",1.22,1,840,128,0,0,369
2021-01-05,"1,447",142,0.1,0,854,16,0,0,46
2021-01-06,"1,972","4,528",3.19,3,"1,205",235,0,0,722
2021-01-07,"1,651","2,335",1.65,0,900,100,0,0,306
2021-01-08,"1,992","5,598",3.95,1,"1,230",210,0,0,708
2021-01-09,"1,543",731,0.52,0,"1,386",54,0,0,163
2021-01-10,"1,409",0,0,0,"1,440",0,0,0,0
2021-01-11,"1,429",0,0,0,"1,438",2,0,0,22
2021-01-12,"1,594",938,0.66,1,942,78,0,0,212
2021-01-13,"1,764","4,065",2.87,6,744,108,6,12,431
2021-01-14,"1,705","2,160",1.52,1,885,127,0,0,361
2021-01-15,"2,123","5,441",3.83,2,654,181,16,22,851
2021-01-16,"1,872","2,914",2.05,4,778,159,6,8,589
2021-01-17,"1,540",835,0.59,0,"1,379",61,0,0,167
2021-01-18,"1,903","2,558",1.8,0,"1,232",208,0,0,639
2021-01-19,"2,226","11,201",7.87,20,938,163,18,48,957
2021-01-20,"2,012","6,654",4.63,14,904,200,4,13,752
2021-01-21,"1,933","4,851",3.42,7,738,192,7,8,656
2021-01-22,"1,603","1,062",0.75,0,806,83,0,0,227
2021-01-23,"2,494","4,290",3.02,0,596,270,46,31,"1,305"
2021-01-24,"1,994","2,896",2.04,3,685,197,0,0,668
2021-01-25,"2,157","6,515",4.53,11,782,136,32,28,836
2021-01-26,"1,989","7,146",5.05,11,936,151,12,31,711
2021-01-27,"2,369","10,258",7.23,1,543,247,38,39,"1,213"
2021-01-28,"1,427",173,0.12,0,"1,031",7,0,0,20
2021-01-29,"2,036","5,918",4.17,2,777,219,32,3,821
2021-01-30,"2,253","8,055",5.65,1,933,249,29,25,"1,070"
2021-01-31,"1,772","5,670",3.96,1,"1,325",100,2,13,452
2021-02-01,"1,454",258,0.18,0,917,22,0,0,60
2021-02-02,"2,043","9,506",6.75,19,795,197,12,19,816
2021-02-03,"2,067","8,447",5.97,11,706,173,5,32,789
2021-02-04,"1,492",492,0.35,0,947,32,0,0,93
2021-02-05,"1,954","3,417",2.41,6,743,201,0,0,693
2021-02-06,"1,732","1,680",1.18,0,928,129,0,0,361
2021-02-07,"1,628","1,326",0.93,1,761,77,3,5,269
2021-02-08,"2,138","6,395",4.56,5,646,269,4,12,940
2021-02-09,"1,701","1,815",1.28,0,"1,113",133,0,0,364
2021-02-10,"3,113","15,355",10.75,15,503,298,51,111,"2,058"
2021-02-11,"2,187","9,394",6.65,21,771,226,16,23,970
2021-02-12,"2,080","6,021",4.31,5,706,212,23,13,863
2021-02-13,"1,892","4,457",3.09,1,854,225,0,0,650
2021-02-14,"2,018","5,726",4.04,6,569,288,0,0,837
2021-02-15,"1,674","1,759",1.24,1,982,112,0,0,311
2021-02-16,"2,420","8,819",6.22,13,643,231,36,43,"1,213"
2021-02-17,"2,565","10,272",7.63,1,638,108,70,94,"1,379"
2021-02-18,"2,341","9,998",6.93,8,760,224,24,42,"1,134"
2021-02-19,"1,914","6,653",4.95,7,805,131,8,22,607
2021-02-20,"1,918","4,820",3.44,2,722,138,8,17,577
2021-02-21,"1,872","2,424",1.64,1,829,127,3,10,474
2021-02-22,"1,717","1,040",0.73,0,828,101,0,0,307
2021-02-23,"2,196","7,634",5.32,9,662,259,1,11,952
2021-02-24,"2,292","7,908",5.61,3,664,166,20,60,"1,024"
2021-02-25,"1,949","7,440",5.22,7,819,152,16,28,686
2021-02-26,"1,811","3,128",2.21,1,680,182,0,0,514
2021-02-27,"2,215","5,279",3.72,2,691,286,0,0,929
2021-02-28,"1,956","5,025",3.49,1,898,235,0,0,707
2021-03-01,"1,836","2,540",1.79,1,753,170,0,0,536
2021-03-02,"1,855","4,238",2.99,7,906,174,0,0,550
2021-03-03,"2,427","10,521",7.32,0,626,125,38,86,"1,186"
2021-03-04,"1,898","6,697",4.72,9,891,133,9,15,584
2021-03-05,"2,210","9,565",6.53,7,760,194,11,35,955
2021-03-06,"2,082","5,727",4.04,8,616,267,6,5,880
2021-03-07,"1,899","5,268",3.71,0,"1,271",135,29,5,593
2021-03-08,"2,269","9,761",6.76,2,696,184,31,46,"1,029"
2021-03-09,"2,213","9,785",6.9,22,831,276,0,0,"1,009"
2021-03-10,"1,599",776,0.55,0,843,72,0,0,239
2021-03-11,"1,892","5,163",3.57,5,846,189,3,5,614
2021-03-12,"2,279","5,202",3.67,5,571,309,24,0,"1,133"
2021-03-13,"2,481","9,024",6.46,2,704,311,29,33,"1,315"
2021-03-14,"2,237","5,886",4.13,1,811,353,0,0,"1,077"
2021-03-15,"1,491",788,0.56,0,884,34,0,0,101
2021-03-16,"2,038","5,189",3.66,1,776,264,0,0,805
2021-03-17,"2,061","6,715",4.65,10,849,181,14,10,796
2021-03-18,"1,797","4,659",3.28,9,873,139,4,6,480
2021-03-19,"1,809","2,043",1.44,2,677,158,0,0,487
2021-03-20,"2,103","5,455",3.85,1,667,343,0,0,959
2021-03-21,"2,122","5,014",3.48,2,668,299,0,0,929
2021-03-22,"2,082","5,367",3.77,2,663,265,0,0,851
2021-03-23,"2,406","11,764",8.29,10,757,194,44,54,"1,214"
2021-03-24,"1,935","4,501",3.17,3,766,153,9,5,579
2021-03-25,"2,119","6,449",4.55,5,702,214,18,12,855
2021-03-26,"1,862","3,819",2.66,0,748,187,0,0,553
2021-03-27,"2,385","7,528",5.31,1,506,477,0,0,"1,373"
2021-03-28,"2,223","7,391",5.2,2,641,390,0,0,"1,109"
2021-03-29,"1,989","4,431",3.12,9,642,219,8,0,721
2021-03-30,"2,205","5,761",4.06,2,706,311,11,0,"1,002"
2021-03-31,"2,229","6,601",4.65,0,640,347,9,2,"1,086"
2021-04-01,"2,409","9,465",6.67,0,425,452,0,0,"1,365"
2021-04-02,"2,252","7,105",5.01,1,529,377,0,0,"1,138"
2021-04-03,"1,488",533,0.38,0,935,39,0,0,103
2021-04-04,"2,785","7,905",5.57,4,571,220,74,78,"1,687"
2021-04-05,"1,919","5,905",4.16,3,701,121,26,18,597
2021-04-06,"1,848","2,735",1.93,0,829,175,0,0,521
2021-04-07,"2,426","9,003",6.3,13,611,167,38,63,"1,198"
2021-04-08,"1,869","4,332",3.05,7,821,154,4,7,556
2021-04-09,"2,265","7,464",5.13,10,723,226,24,11,"1,001"
2021-04-10,"2,222","7,135",4.95,3,726,326,0,0,"1,047"
2021-04-11,"1,809","2,697",1.9,1,788,135,10,0,475
2021-04-12,"1,600",528,0.37,0,798,67,0,0,196
2021-04-13,"2,077","7,313",5.02,18,875,219,0,0,781
2021-04-14,"2,004","4,575",3.25,4,673,242,0,0,763
2021-04-15,"1,908","5,073",3.54,0,886,172,5,13,620
2021-04-16,"1,989","3,770",2.66,3,719,234,0,0,719
2021-04-17,"2,095","4,575",3.15,3,580,236,7,4,831
2021-04-18,"1,746","1,830",1.28,2,660,102,0,0,387
2021-04-19,"1,713","2,053",1.45,3,798,113,0,0,359
2021-04-20,"2,248","7,766",5.52,16,765,263,6,17,"1,026"
2021-04-21,"1,956","5,306",3.74,3,693,184,8,6,660
2021-04-22,"2,142","5,447",3.84,6,631,240,22,3,916
2021-04-23,"1,834","4,143",2.87,8,672,175,0,0,527
2021-04-24,"2,270","7,419",5.3,5,640,335,3,11,"1,099"
2021-04-25,"1,585","1,444",1.02,1,889,79,0,0,216
2021-04-26,"2,156","4,918",3.47,3,618,256,19,8,953
2021-04-27,"2,040","3,924",2.92,2,753,124,37,20,733
2021-04-28,"2,024","5,023",3.54,1,683,221,15,0,766
2021-04-29,"1,743","2,589",1.83,5,732,129,0,0,386
2021-04-30,"1,804","1,858",1.3,1,724,132,7,0,468
2021-05-01,"2,413","5,938",4.19,2,453,343,30,0,"1,265"
2021-05-02,"1,851","4,348",3.07,9,702,207,0,0,593
2021-05-03,"2,138","6,596",4.62,4,781,297,4,8,959
2021-05-04,"2,307","11,627",8.2,9,638,352,7,12,"1,200"
2021-05-05,"1,875","5,630",3.97,0,798,208,0,0,627
2021-05-06,"1,997","5,562",3.9,7,686,202,11,7,738
2021-05-07,"2,337","9,798",6.82,18,681,348,0,0,"1,170"
2021-05-08,"2,144","5,376",3.79,10,687,248,25,0,932
2021-05-09,"2,504","8,127",3.8,6,484,386,26,3,"1,425"
2021-05-10,"2,048","5,490",3.87,2,727,259,0,0,787
2021-05-11,"2,113","6,838",4.81,7,764,283,0,0,906
2021-05-12,"1,949","4,318",3.04,3,726,195,9,3,669
2021-05-13,"1,918","2,967",2.09,4,846,182,0,0,557
2021-05-14,"2,036","4,518",3.18,9,570,235,0,0,769
2021-05-15,"2,448","10,489",7.38,14,497,304,37,17,"1,295"
2021-05-16,"2,540","8,654",6.1,2,686,376,15,22,"1,452"
2021-05-17,"2,469","9,670",5.69,9,511,301,62,12,"1,376"
2021-05-18,"2,268","10,261",7.03,2,630,291,8,1,"1,035"
2021-05-19,"2,447","11,006",7.72,21,563,302,60,10,"1,336"
2021-05-20,"1,763","3,756",2.64,21,973,151,0,0,462
2021-05-21,"1,881","5,741",4.05,6,"1,078",202,0,0,628
2021-05-22,"1,981","4,785",3.36,3,"1,193",247,0,0,694
2021-05-23,"2,259","9,742",6.87,16,595,201,43,23,"1,022"
2021-05-24,"2,133","4,637",3.27,8,707,247,7,7,875
2021-05-25,"3,023","8,296",5.83,9,303,428,97,26,"2,090"
2021-05-26,"1,901","2,827",1.99,4,794,163,1,10,599
2021-05-27,"2,279","9,056",6.38,15,480,263,24,13,"1,080"
2021-05-28,"2,766","12,261",8.64,106,721,406,31,14,"1,705"
2021-05-29,"2,549","9,678",6.76,20,639,435,7,1,"1,460"
2021-05-30,"2,582","12,909",9.1,10,417,391,23,15,"1,534"
2021-05-31,"2,428","10,534",7.39,7,844,411,0,0,"1,305"
2021-06-01,"1,418",36,0.03,0,716,3,0,0,7
2021-06-02,"1,545",977,0.69,0,"1,191",42,8,2,168
2021-06-03,"3,357","12,829",9.13,19,247,432,87,84,"2,481"
2021-06-04,"2,872","13,633",9.64,13,406,227,124,55,"1,781"
2021-06-05,"2,299","9,840",6.91,4,"1,142",270,22,6,"1,083"
2021-06-06,"2,935","19,643",13.85,161,577,288,56,90,"1,846"
2021-06-07,"1,552","1,285",0.91,2,"1,101",53,0,0,175
2021-06-08,"2,584","8,058",5.86,3,531,236,36,65,"1,417"
2021-06-09,"2,371","6,291",4.44,8,510,324,22,13,"1,218"
2021-06-10,"2,000","4,144",2.92,6,657,160,6,23,716
2021-06-11,"1,929","3,972",2.8,6,677,161,4,6,609
2021-06-12,"2,821","9,441",6.64,15,564,378,60,26,"1,763"
2021-06-13,"2,292","5,860",4.13,1,680,315,17,3,"1,101"
2021-06-14,"3,331","22,879",16.11,310,490,568,21,43,"2,469"
2021-06-15,"3,181","19,753",13.84,211,373,534,26,29,"2,296"
2021-06-16,"2,271","9,189",6.31,33,678,392,0,0,"1,195"
2021-06-17,"3,338","27,518",19.4,154,419,467,64,69,"2,467"
2021-06-18,"3,006","18,954",13.31,143,469,537,28,18,"2,099"
2021-06-19,"2,671","14,543",10.2,73,504,411,19,23,"1,644"
2021-06-20,"2,341","6,916",4.98,2,586,192,77,23,"1,188"
2021-06-21,"1,579",992,0.7,1,"1,369",71,0,0,208
2021-06-22,"2,634","10,629",7.5,13,412,268,50,52,"1,495"
2021-06-23,"2,661","14,116",9.84,18,697,427,19,9,"1,571"
2021-06-24,"2,005","6,809",4.8,11,451,193,12,7,748
2021-06-25,"2,293","7,028",4.94,4,564,241,50,16,"1,103"
2021-06-26,"2,510","9,090",6.4,9,554,368,13,9,"1,355"
2021-06-27,"1,898","4,683",3.3,1,558,166,2,4,581
2021-06-28,"2,520","13,714",9.67,6,603,316,27,30,"1,385"
2021-06-29,"1,989","6,175",4.35,6,688,249,0,0,768
2021-06-30,"2,120","9,448",6.66,7,686,182,32,24,889
2021-07-01,"2,050","7,503",5.29,12,644,248,0,0,820
2021-07-02,"2,626","11,007",7.72,17,568,423,26,5,"1,574"
2021-07-03,"1,587","1,471",1.04,1,"1,372",68,0,0,221
2021-07-04,"1,427",176,0.12,0,"1,428",12,0,0,31
2021-07-05,"2,112","5,788",4.08,2,644,261,0,0,881
2021-07-06,"1,996","3,416",2.41,26,720,216,0,0,712
2021-07-07,"2,169","7,015",4.95,29,627,207,35,5,912
2021-07-08,"1,844","3,232",2.28,20,819,138,6,4,517
2021-07-09,"2,103","7,993",5.64,42,707,187,34,19,882
2021-07-10,"2,148","7,267",5.12,46,635,206,20,25,935
2021-07-11,"1,743","2,087",1.47,11,730,121,0,0,413
2021-07-12,"2,083","6,803",4.8,18,577,300,0,0,920
2021-07-13,"2,157","7,885",5.56,8,553,305,0,0,977
2021-07-14,"3,103","19,438",13.7,210,813,588,19,20,"2,225"
2021-07-15,"3,361","20,728",14.25,80,434,431,99,80,"2,476"
2021-07-16,"2,928","11,179",7.88,35,540,495,35,7,"1,956"
2021-07-17,"2,716","13,101",9.22,169,530,460,15,14,"1,721"
2021-07-18,"3,108","21,884",15.43,249,312,528,28,28,"2,211"
2021-07-19,"2,548","15,881",11.06,100,350,425,0,0,"1,416"
2021-07-20,"2,870","17,265",12.17,254,389,360,30,37,"1,812"
2021-07-21,"1,885","2,582",1.82,2,"1,275",165,0,0,583
2021-07-22,"2,465","6,868",4.84,2,342,327,26,11,"1,345"
2021-07-23,"2,978","9,529",6.72,19,541,386,77,38,"1,961"
2021-07-24,"2,365","7,725",5.45,12,715,346,0,0,"1,180"
2021-07-25,"2,313","10,117",7.13,39,527,286,24,13,"1,153"
2021-07-26,"1,910","5,163",3.64,2,"1,241",189,10,0,642
2021-07-27,"3,013","11,788",8.31,10,263,482,58,17,"2,099"
2021-07-28,"2,954","9,617",6.78,7,622,431,64,15,"1,957"
2021-07-29,"2,267","8,260",4.8,1,690,312,0,0,"1,082"
2021-07-30,"1,820","4,228",2.77,7,"1,135",150,13,0,508
2021-07-31,"2,852","18,763",13.17,25,822,427,68,5,"1,816"
2021-08-01,"2,496","8,641",5.81,12,348,373,17,4,"1,372"
2021-08-02,"2,164","4,978",3.5,12,251,226,34,1,975
2021-08-03,"2,437","8,109",5.64,8,905,343,9,1,"1,226"
2021-08-04,"2,210","6,229",4.39,8,786,339,0,0,"1,049"
2021-08-05,"1,925","5,614",3.91,2,795,213,0,0,669
2021-08-06,"2,245","6,891",4.81,7,598,330,0,0,"1,077"
2021-08-07,"2,201","4,886",3.14,4,649,165,23,37,986
2021-08-08,"2,381","5,123",3.61,8,656,331,5,6,"1,195"
2021-08-09,"2,121","7,613",5.37,6,855,281,0,0,915
2021-08-10,"2,512","11,839",8.23,21,551,369,15,11,"1,404"
2021-08-11,"1,995","3,909",2.76,4,637,212,0,0,702
2021-08-12,"2,507","12,562",8.86,17,658,373,4,4,"1,378"
2021-08-13,"2,608","14,638",10.25,17,504,409,20,10,"1,578"
2021-08-14,"2,123","7,597",5.26,6,504,260,14,0,915
2021-08-15,"2,404","5,392",3.9,9,607,204,30,49,"1,192"
2021-08-16,"2,271","8,442",5.94,17,745,315,6,3,"1,084"
2021-08-17,"2,311","8,784",6.19,7,768,284,18,13,"1,143"
2021-08-18,"2,674","13,934",9.78,12,557,344,47,18,"1,592"
2021-08-19,"2,334","11,208",7.9,2,646,291,22,15,"1,193"
2021-08-20,"2,747","16,433",11.59,11,517,369,52,21,"1,714"
2021-08-21,"2,661","14,530",10.2,15,578,400,26,10,"1,593"
2021-08-22,"2,658","11,555",8.12,23,620,369,38,13,"1,581"
2021-08-23,"2,314","11,639",8.16,10,629,297,31,5,"1,156"
2021-08-24,"2,847","17,158",12.04,10,639,311,48,59,"1,770"
2021-08-25,"2,299","9,961",7.01,6,574,302,0,0,"1,113"
2021-08-26,"2,208","7,625",5.38,12,629,236,24,11,994
2021-08-27,"2,119","6,806",4.76,6,861,248,0,0,851
2021-08-28,"2,115","5,473",3.86,5,595,219,22,13,889
2021-08-29,"2,395","7,559",5.4,9,428,215,28,34,"1,170"
2021-08-30,"1,883","4,370",3.08,5,848,177,3,0,584
2021-08-31,"2,008","6,683",4.89,6,691,130,22,19,718
2021-09-01,"1,944","7,354",5.18,6,902,149,31,0,643
2021-09-02,"1,670","2,947",2.08,5,743,101,0,0,328
2021-09-03,"2,062","8,344",5.88,10,765,229,0,0,819
2021-09-04,"2,116","5,440",4.1,4,601,205,12,22,874
2021-09-05,"2,054","7,640",5.36,7,619,211,12,5,797
2021-09-06,"1,876","6,024",4.22,8,788,173,0,0,596
2021-09-07,"2,264","9,317",6.57,9,683,198,47,14,"1,054"
2021-09-08,"1,993","5,302",3.74,9,962,212,0,0,702
2021-09-09,"2,008","5,300",3.72,7,669,185,15,4,744
2021-09-10,"2,513","10,298",7.19,12,753,290,37,19,"1,393"
2021-09-11,"2,094","4,833",3.39,4,724,210,15,3,814
2021-09-12,"1,992","4,638",3.27,3,626,204,0,0,711
2021-09-13,"1,975","6,677",4.65,3,767,195,3,3,708
2021-09-14,"2,539","13,670",9.66,17,630,263,38,36,"1,423"
2021-09-15,"1,861","4,722",3.29,6,936,169,0,0,550
2021-09-16,"2,477","14,205",9.98,11,692,246,49,39,"1,340"
2021-09-17,"2,213","10,874",7.64,10,681,286,5,20,"1,056"
2021-09-18,"2,115","5,094",3.59,6,673,258,0,0,859
2021-09-19,"1,951","4,388",3.09,10,683,240,0,0,713
2021-09-20,"1,961","7,199",5.06,5,781,225,0,0,734
2021-09-21,"2,173","9,076",6.4,6,687,274,13,0,977
2021-09-22,"2,166","8,155",5.72,7,716,218,10,15,931
2021-09-23,"2,241","8,114",5.7,6,667,179,49,30,"1,036"
2021-09-24,"2,395","10,162",7.15,10,698,344,7,4,"1,240"
2021-09-25,"2,121","2,654",1.87,2,652,222,21,4,883
2021-09-26,"1,872","4,597",3.24,5,668,163,0,0,584
2021-09-27,"1,999","5,188",3.66,7,747,206,0,0,740
2021-09-28,"2,271","9,243",6.52,6,748,259,20,8,"1,058"
2021-09-29,"2,090","9,065",6.29,7,805,221,10,10,855
2021-09-30,"2,549","13,043",9.12,20,678,231,65,38,"1,428"
2021-10-01,"2,377","9,901",6.91,9,609,405,0,0,"1,303"
2021-10-02,"2,119","9,547",6.73,9,641,279,0,0,928
2021-10-03,"1,730","2,170",1.53,3,773,144,0,0,423
2021-10-04,"1,892","6,528",4.59,10,795,177,5,1,625
2021-10-05,"1,964","5,654",4.03,7,626,183,7,5,696
2021-10-06,"1,909","5,938",4.19,14,800,182,0,0,633
2021-10-07,"1,867","3,768",2.66,6,727,141,4,7,562
2021-10-08,"2,208","7,187",5.07,10,"1,071",251,28,5,"1,022"
2021-10-09,"1,935","2,798",1.97,3,474,177,21,0,661
2021-10-10,"1,701","1,465",1.03,2,788,104,2,8,359
2021-10-11,"1,770","3,421",2.41,5,836,146,0,0,458
2021-10-12,"1,878","7,108",4.88,8,819,145,4,5,587
2021-10-13,"2,156","7,160",5.05,15,893,222,14,8,932
2021-10-14,"1,987","4,960",3.46,14,910,184,4,7,701
2021-10-15,"2,228","8,103",5.71,5,762,269,14,4,"1,037"
2021-10-16,"2,914","9,735",6.86,14,601,376,64,36,"1,882"
2021-10-17,"1,625","1,346",0.95,2,587,88,0,0,275
2021-10-18,"1,748","4,475",3.15,6,863,125,0,0,423
2021-10-19,"1,796","4,498",3.17,7,846,141,0,0,487
2021-10-20,"2,649","9,405",6.51,20,671,379,49,7,"1,618"
2021-10-21,"1,769","4,387",3.02,5,895,105,6,3,409
2021-10-22,"2,142","6,967",4.91,7,831,310,0,0,978
2021-10-23,"2,316","5,406",3.81,6,288,264,23,21,"1,176"
2021-10-24,"1,744","1,652",1.16,1,633,124,8,0,404
2021-10-25,"1,856","4,067",2.81,6,732,176,0,0,565
2021-10-26,"2,284","7,867",5.49,34,655,307,7,2,"1,120"
2021-10-27,"2,157","7,979",5.95,5,574,213,2,20,910
2021-10-28,"1,812","4,106",2.82,5,927,158,0,0,506
2021-10-29,"1,826","1,961",1.38,0,688,132,11,8,519
2021-10-30,"2,641","11,658",8.22,30,536,484,10,2,"1,628"
2021-10-31,"1,964","3,375",2.37,8,654,203,12,0,699
2021-11-01,"2,124","7,703",5.68,7,749,205,10,20,892
2021-11-02,"1,771","4,473",3.15,8,883,120,5,0,447
2021-11-03,"1,898","4,783",3.38,9,785,179,0,0,626
2021-11-04,"2,085","5,583",3.87,8,754,203,16,6,843
2021-11-05,"2,122","6,900",4.86,22,770,256,7,2,879
2021-11-06,"2,748","10,914",7.68,15,951,422,49,18,"1,729"
2021-11-07,"2,017","3,575",2.52,3,731,148,8,9,590
2021-11-08,"1,809","4,253",2.96,6,843,157,0,0,508
2021-11-09,"1,938","4,750",3.38,6,695,181,0,0,622
2021-11-10,"1,890","5,155",3.63,6,840,182,0,0,602
2021-11-11,"2,007","4,558",3.21,10,668,232,0,0,750
2021-11-12,"1,918","4,239",2.99,12,665,207,0,0,668
2021-11-13,"1,834","2,631",1.85,2,821,160,0,0,505
2021-11-14,"1,507",408,0.29,0,819,47,0,0,133
2021-11-15,"1,928","1,305",0.92,0,538,183,9,0,630
2021-11-16,"1,800","1,817",1.28,2,674,145,0,0,487
2021-11-17,"1,678","1,997",1.41,5,911,102,0,0,336
2021-11-18,"1,830","5,238",3.69,12,810,158,0,0,547
2021-11-19,"1,969","6,513",4.59,13,908,209,0,0,717
2021-11-20,"2,901","7,980",5.63,13,484,339,64,47,"1,856"
2021-11-21,"2,074","5,793",4.08,6,759,251,9,0,854
2021-11-22,"1,861","4,129",2.91,5,806,171,0,0,556
2021-11-23,"2,673","7,726",5.47,18,651,287,76,35,"1,582"
2021-11-24,"1,784","2,995",2.11,4,750,164,0,0,487
2021-11-25,"2,466","7,687",2.84,2,620,272,62,15,"1,316"
2021-11-26,"2,456","11,615",8.16,31,574,362,9,0,"1,318"
2021-11-27,"2,053","4,115",2.9,8,853,235,0,0,777
2021-11-28,"2,558","5,024",1.89,5,564,227,95,28,"1,443"
2021-11-29,"1,409","2,637",1.86,6,479,119,0,0,395