date,market,commodity,unit,currency,price,usdprice,CPI (in %),CPI ,discount.percentage,discounted.value
2007-01-15,Ulaanbaatar,Meat (beef),KG,MNT,2331.57,0.82,17.7718832891,1.1777188329,0.302083333,7718.30069
2007-02-15,Ulaanbaatar,Meat (beef),KG,MNT,2585.72,0.91,17.7718832891,1.1777188329,0.302083333,8559.624828
2007-03-15,Ulaanbaatar,Meat (beef),KG,MNT,2668.46,0.94,17.7718832891,1.1777188329,0.302083333,8833.522759
2007-04-15,Ulaanbaatar,Meat (beef),KG,MNT,2847.25,1,17.7718832891,1.1777188329,0.302083333,9425.37931
2007-05-15,Ulaanbaatar,Meat (beef),KG,MNT,2907.04,1.02,17.7718832891,1.1777188329,0.302083333,9623.304828
2007-06-15,Ulaanbaatar,Meat (beef),KG,MNT,3273.32,1.15,17.7718832891,1.1777188329,0.302083333,10835.81793
2007-07-15,Ulaanbaatar,Meat (beef),KG,MNT,3155.48,1.11,17.7718832891,1.1777188329,0.302083333,10445.7269
2007-08-15,Ulaanbaatar,Meat (beef),KG,MNT,3101.84,1.09,17.7718832891,1.1777188329,0.302083333,10268.16
2007-09-15,Ulaanbaatar,Meat (beef),KG,MNT,3046.01,1.07,17.7718832891,1.1777188329,0.302083333,10083.34345
2007-10-15,Ulaanbaatar,Meat (beef),KG,MNT,2829.74,1,17.7718832891,1.1777188329,0.302083333,9367.415172
2007-11-15,Ulaanbaatar,Meat (beef),KG,MNT,2705.23,0.95,17.7718832891,1.1777188329,0.302083333,8955.244138
2007-12-15,Ulaanbaatar,Meat (beef),KG,MNT,2783.68,0.98,17.7718832891,1.1777188329,0.302083333,9214.94069
2008-01-15,Ulaanbaatar,Meat (beef),KG,MNT,3037,1.07,22.0720720721,1.2207207207,0.355769231,8536.432432
2008-02-15,Ulaanbaatar,Meat (beef),KG,MNT,3264,1.15,22.0720720721,1.2207207207,0.355769231,9174.486486
2008-03-15,Ulaanbaatar,Meat (beef),KG,MNT,3411,1.2,22.0720720721,1.2207207207,0.355769231,9587.675676
2008-04-15,Ulaanbaatar,Meat (beef),KG,MNT,3947,1.39,22.0720720721,1.2207207207,0.355769231,11094.27027
2008-05-15,Ulaanbaatar,Meat (beef),KG,MNT,4307,1.52,22.0720720721,1.2207207207,0.355769231,12106.16216
2008-06-15,Ulaanbaatar,Meat (beef),KG,MNT,4544,1.6,22.0720720721,1.2207207207,0.355769231,12772.32432
2008-07-15,Ulaanbaatar,Meat (beef),KG,MNT,4428,1.56,22.0720720721,1.2207207207,0.355769231,12446.27027
2008-08-15,Ulaanbaatar,Meat (beef),KG,MNT,4020,1.42,22.0720720721,1.2207207207,0.355769231,11299.45946
2008-09-15,Ulaanbaatar,Meat (beef),KG,MNT,3759,1.33,22.0720720721,1.2207207207,0.355769231,10565.83784
2008-10-15,Ulaanbaatar,Meat (beef),KG,MNT,3264,1.15,22.0720720721,1.2207207207,0.355769231,9174.486486
2008-11-15,Ulaanbaatar,Meat (beef),KG,MNT,3061,1.08,22.0720720721,1.2207207207,0.355769231,8603.891892
2008-12-15,Ulaanbaatar,Meat (beef),KG,MNT,2992,1.05,22.0720720721,1.2207207207,0.355769231,8409.945946
2009-01-15,Ulaanbaatar,Meat (beef),KG,MNT,3019,1.06,4.2435424354,1.0424354244,0.434294872,6951.498155
2009-02-15,Ulaanbaatar,Meat (beef),KG,MNT,3080,1.09,4.2435424354,1.0424354244,0.434294872,7091.95572
2009-03-15,Ulaanbaatar,Meat (beef),KG,MNT,3554.32,1.25,4.2435424354,1.0424354244,0.434294872,8184.1169
2009-04-15,Ulaanbaatar,Meat (beef),KG,MNT,3639.62,1.28,4.2435424354,1.0424354244,0.434294872,8380.527232
2009-05-15,Ulaanbaatar,Meat (beef),KG,MNT,3887.12,1.37,4.2435424354,1.0424354244,0.434294872,8950.416531
2009-06-15,Ulaanbaatar,Meat (beef),KG,MNT,3929.88,1.39,4.2435424354,1.0424354244,0.434294872,9048.874982
2009-07-15,Ulaanbaatar,Meat (beef),KG,MNT,3611.56,1.27,4.2435424354,1.0424354244,0.434294872,8315.916753
2009-08-15,Ulaanbaatar,Meat (beef),KG,MNT,3333.47,1.18,4.2435424354,1.0424354244,0.434294872,7675.591439
2009-09-15,Ulaanbaatar,Meat (beef),KG,MNT,3026.79,1.07,4.2435424354,1.0424354244,0.434294872,6969.435277
2009-10-15,Ulaanbaatar,Meat (beef),KG,MNT,2878.48,1.01,4.2435424354,1.0424354244,0.434294872,6627.939188
2009-11-15,Ulaanbaatar,Meat (beef),KG,MNT,2898.62,1.02,4.2435424354,1.0424354244,0.434294872,6674.31321
2009-12-15,Ulaanbaatar,Meat (beef),KG,MNT,2829.06,1,4.2435424354,1.0424354244,0.434294872,6514.145535
2010-01-15,Ulaanbaatar,Meat (beef),KG,MNT,3168.55,1.12,12.9203539823,1.1292035398,0.452724359,6998.850265
2010-02-15,Ulaanbaatar,Meat (beef),KG,MNT,3868.8,1.36,12.9203539823,1.1292035398,0.452724359,8545.597168
2010-03-15,Ulaanbaatar,Meat (beef),KG,MNT,4178.3,1.47,12.9203539823,1.1292035398,0.452724359,9229.236106
2010-04-15,Ulaanbaatar,Meat (beef),KG,MNT,4809.22,1.7,12.9203539823,1.1292035398,0.452724359,10622.84347
2010-05-15,Ulaanbaatar,Meat (beef),KG,MNT,5569.08,1.96,12.9203539823,1.1292035398,0.452724359,12301.25989
2010-06-15,Ulaanbaatar,Meat (beef),KG,MNT,5758.43,2.03,12.9203539823,1.1292035398,0.452724359,12719.50556
2010-07-15,Ulaanbaatar,Meat (beef),KG,MNT,4739.18,1.67,12.9203539823,1.1292035398,0.452724359,10468.13565
2010-08-15,Ulaanbaatar,Meat (beef),KG,MNT,4255.79,1.5,12.9203539823,1.1292035398,0.452724359,9400.399858
2010-09-15,Ulaanbaatar,Meat (beef),KG,MNT,3936.6,1.39,12.9203539823,1.1292035398,0.452724359,8695.357168
2010-10-15,Ulaanbaatar,Meat (beef),KG,MNT,3601.99,1.27,12.9203539823,1.1292035398,0.452724359,7956.254018
2010-11-15,Ulaanbaatar,Meat (beef),KG,MNT,3540.76,1.25,12.9203539823,1.1292035398,0.452724359,7821.006159
2010-12-15,Ulaanbaatar,Meat (beef),KG,MNT,4061.25,1.43,12.9203539823,1.1292035398,0.452724359,8970.690265
2011-01-15,Ulaanbaatar,Meat (beef),KG,MNT,4800.4,1.69,8.9341692790,1.0893416928,0.511217949,9390.124138
2011-02-15,Ulaanbaatar,Meat (beef),KG,MNT,4800.4,1.69,8.9341692790,1.0893416928,0.511217949,9390.124138
2011-03-15,Ulaanbaatar,Meat (beef),KG,MNT,4406.76,1.55,8.9341692790,1.0893416928,0.511217949,8620.119875
2011-04-15,Ulaanbaatar,Meat (beef),KG,MNT,4234.9,1.49,8.9341692790,1.0893416928,0.511217949,8283.94232
2011-05-15,Ulaanbaatar,Meat (beef),KG,MNT,4666.86,1.65,8.9341692790,1.0893416928,0.511217949,9128.904828
2011-06-15,Ulaanbaatar,Meat (beef),KG,MNT,4788.2,1.69,8.9341692790,1.0893416928,0.511217949,9366.259561
2011-07-15,Ulaanbaatar,Meat (beef),KG,MNT,4917.48,1.73,8.9341692790,1.0893416928,0.511217949,9619.145831
2011-08-15,Ulaanbaatar,Meat (beef),KG,MNT,4750.29,1.67,8.9341692790,1.0893416928,0.511217949,9292.103323
2011-09-15,Ulaanbaatar,Meat (beef),KG,MNT,4759.79,1.68,8.9341692790,1.0893416928,0.511217949,9310.686395
2011-10-15,Ulaanbaatar,Meat (beef),KG,MNT,4669.35,1.65,8.9341692790,1.0893416928,0.511217949,9133.775549
2011-11-15,Ulaanbaatar,Meat (beef),KG,MNT,4692.7,1.65,8.9341692790,1.0893416928,0.511217949,9179.450784
2011-12-15,Ulaanbaatar,Meat (beef),KG,MNT,4847.56,1.71,8.9341692790,1.0893416928,0.511217949,9482.37442
2012-01-15,Ulaanbaatar,Meat (beef),KG,MNT,5430,1.91,14.1007194245,1.1410071942,0.556891026,9750.561151
2012-02-15,Ulaanbaatar,Meat (beef),KG,MNT,6650,2.34,14.1007194245,1.1410071942,0.556891026,11941.29496
2012-03-15,Ulaanbaatar,Meat (beef),KG,MNT,7365,2.6,14.1007194245,1.1410071942,0.556891026,13225.20863
2012-04-15,Ulaanbaatar,Meat (beef),KG,MNT,7630,2.69,14.1007194245,1.1410071942,0.556891026,13701.06475
2012-05-15,Ulaanbaatar,Meat (beef),KG,MNT,7750,2.73,14.1007194245,1.1410071942,0.556891026,13916.54676
2012-06-15,Ulaanbaatar,Meat (beef),KG,MNT,8180,2.88,14.1007194245,1.1410071942,0.556891026,14688.69065
2012-07-15,Ulaanbaatar,Meat (beef),KG,MNT,8070,2.85,14.1007194245,1.1410071942,0.556891026,14491.16547
2012-08-15,Ulaanbaatar,Meat (beef),KG,MNT,7850,2.77,14.1007194245,1.1410071942,0.556891026,14096.11511
2012-09-15,Ulaanbaatar,Meat (beef),KG,MNT,7395,2.61,14.1007194245,1.1410071942,0.556891026,13279.07914
2012-10-15,Ulaanbaatar,Meat (beef),KG,MNT,7020,2.47,14.1007194245,1.1410071942,0.556891026,12605.69784
2012-11-15,Ulaanbaatar,Meat (beef),KG,MNT,6980,2.46,14.1007194245,1.1410071942,0.556891026,12533.8705
2012-12-15,Ulaanbaatar,Meat (beef),KG,MNT,7170,2.53,14.1007194245,1.1410071942,0.556891026,12875.05036
2013-01-15,Ulaanbaatar,Meat (beef),KG,MNT,7337,2.59,12.4842370744,1.1248423707,0.635416667,11546.7541
2013-02-15,Ulaanbaatar,Meat (beef),KG,MNT,8322,2.93,12.4842370744,1.1248423707,0.635416667,13096.91803
2013-03-15,Ulaanbaatar,Meat (beef),KG,MNT,7895,2.78,12.4842370744,1.1248423707,0.635416667,12424.91803
2013-04-15,Ulaanbaatar,Meat (beef),KG,MNT,8830,3.11,12.4842370744,1.1248423707,0.635416667,13896.39344
2013-05-15,Ulaanbaatar,Meat (beef),KG,MNT,8890,3.13,12.4842370744,1.1248423707,0.635416667,13990.81967
2013-06-15,Ulaanbaatar,Meat (beef),KG,MNT,8915,3.14,12.4842370744,1.1248423707,0.635416667,14030.16393
2013-07-15,Ulaanbaatar,Meat (beef),KG,MNT,8885,3.13,12.4842370744,1.1248423707,0.635416667,13982.95082
2013-08-15,Ulaanbaatar,Meat (beef),KG,MNT,8400,2.96,12.4842370744,1.1248423707,0.635416667,13219.67213
2013-09-15,Ulaanbaatar,Meat (beef),KG,MNT,8475,2.99,12.4842370744,1.1248423707,0.635416667,13337.70492
2013-10-15,Ulaanbaatar,Meat (beef),KG,MNT,7800,2.75,12.4842370744,1.1248423707,0.635416667,12275.40984
2013-11-15,Ulaanbaatar,Meat (beef),KG,MNT,7720,2.72,12.4842370744,1.1248423707,0.635416667,12149.5082
2013-12-15,Ulaanbaatar,Meat (beef),KG,MNT,7810,2.75,12.4842370744,1.1248423707,0.635416667,12291.14754
2014-01-15,Ulaanbaatar,Meat (beef),KG,MNT,7980,2.81,10.4260089686,1.1042600897,0.71474359,11164.84305
2014-02-15,Ulaanbaatar,Meat (beef),KG,MNT,8350,2.94,10.4260089686,1.1042600897,0.71474359,11682.51121
2014-03-15,Ulaanbaatar,Meat (beef),KG,MNT,8440,2.98,10.4260089686,1.1042600897,0.71474359,11808.43049
2014-04-15,Ulaanbaatar,Meat (beef),KG,MNT,8370,2.95,10.4260089686,1.1042600897,0.71474359,11710.49327
2014-05-15,Ulaanbaatar,Meat (beef),KG,MNT,8685,3.06,10.4260089686,1.1042600897,0.71474359,12151.21076
2014-06-15,Ulaanbaatar,Meat (beef),KG,MNT,8730,3.08,10.4260089686,1.1042600897,0.71474359,12214.1704
2014-07-15,Ulaanbaatar,Meat (beef),KG,MNT,7810,2.75,10.4260089686,1.1042600897,0.71474359,10926.99552
2014-08-15,Ulaanbaatar,Meat (beef),KG,MNT,7591,2.68,10.4260089686,1.1042600897,0.71474359,10620.59193
2014-09-15,Ulaanbaatar,Meat (beef),KG,MNT,7633,2.69,10.4260089686,1.1042600897,0.71474359,10679.35426
2014-10-15,Ulaanbaatar,Meat (beef),KG,MNT,7550,2.66,10.4260089686,1.1042600897,0.71474359,10563.2287
2014-11-15,Ulaanbaatar,Meat (beef),KG,MNT,7490,2.64,10.4260089686,1.1042600897,0.71474359,10479.28251
2014-12-15,Ulaanbaatar,Meat (beef),KG,MNT,7465,2.63,10.4260089686,1.1042600897,0.71474359,10444.30493
2015-01-15,Ulaanbaatar,Meat (beef),KG,MNT,7867,2.77,1.0152284264,1.0101522843,0.789262821,9967.528934
2015-02-15,Ulaanbaatar,Meat (beef),KG,MNT,7936,2.8,1.0152284264,1.0101522843,0.789262821,10054.95228
2015-03-15,Ulaanbaatar,Meat (beef),KG,MNT,7810,2.75,1.0152284264,1.0101522843,0.789262821,9895.309645
2015-04-15,Ulaanbaatar,Meat (beef),KG,MNT,8082,2.85,1.0152284264,1.0101522843,0.789262821,10239.93503
2015-05-15,Ulaanbaatar,Meat (beef),KG,MNT,8144,2.87,1.0152284264,1.0101522843,0.789262821,10318.48934
2015-06-15,Ulaanbaatar,Meat (beef),KG,MNT,8445,2.98,1.0152284264,1.0101522843,0.789262821,10699.85787
2015-07-15,Ulaanbaatar,Meat (beef),KG,MNT,7987,2.82,1.0152284264,1.0101522843,0.789262821,10119.56954
2015-08-15,Ulaanbaatar,Meat (beef),KG,MNT,7229,2.55,1.0152284264,1.0101522843,0.789262821,9159.179695
2015-09-15,Ulaanbaatar,Meat (beef),KG,MNT,7003,2.47,1.0152284264,1.0101522843,0.789262821,8872.836548
2015-10-15,Ulaanbaatar,Meat (beef),KG,MNT,5974,2.11,1.0152284264,1.0101522843,0.789262821,7569.088325
2015-11-15,Ulaanbaatar,Meat (beef),KG,MNT,5619,1.98,1.0152284264,1.0101522843,0.789262821,7119.301523
2015-12-15,Ulaanbaatar,Meat (beef),KG,MNT,7064,2.49,1.0152284264,1.0101522843,0.789262821,8950.123858
2016-01-15,Ulaanbaatar,Meat (beef),KG,MNT,6546,2.31,1.3065326633,1.0130653266,0.797275641,8210.460302
2016-02-15,Ulaanbaatar,Meat (beef),KG,MNT,6875,2.42,1.3065326633,1.0130653266,0.797275641,8623.115578
2016-03-15,Ulaanbaatar,Meat (beef),KG,MNT,7103,2.5,1.3065326633,1.0130653266,0.797275641,8909.089447
2016-04-15,Ulaanbaatar,Meat (beef),KG,MNT,8532,3.01,1.3065326633,1.0130653266,0.797275641,10701.44322
2016-05-15,Ulaanbaatar,Meat (beef),KG,MNT,8664,3.05,1.3065326633,1.0130653266,0.797275641,10867.00704
2016-06-15,Ulaanbaatar,Meat (beef),KG,MNT,8339,2.94,1.3065326633,1.0130653266,0.797275641,10459.36884
2016-07-15,Ulaanbaatar,Meat (beef),KG,MNT,7869,2.77,1.3065326633,1.0130653266,0.797275641,9869.861307
2016-08-15,Ulaanbaatar,Meat (beef),KG,MNT,7321,2.58,1.3065326633,1.0130653266,0.797275641,9182.520603
2016-09-15,Ulaanbaatar,Meat (beef),KG,MNT,6662,2.35,1.3065326633,1.0130653266,0.797275641,8355.955779
2016-10-15,Ulaanbaatar,Meat (beef),KG,MNT,5233,1.84,1.3065326633,1.0130653266,0.797275641,6563.60201
2016-11-15,Ulaanbaatar,Meat (beef),KG,MNT,5495,1.94,1.3065326633,1.0130653266,0.797275641,6892.221106
2016-12-15,Ulaanbaatar,Meat (beef),KG,MNT,7568,2.67,1.3065326633,1.0130653266,0.797275641,9492.325628
2017-01-15,Ulaanbaatar,Meat (beef),KG,MNT,7163,2.53,6.3492063492,1.0634920635,0.807692308,8868.47619
2017-02-15,Ulaanbaatar,Meat (beef),KG,MNT,7316,2.58,6.3492063492,1.0634920635,0.807692308,9057.904762
2017-03-15,Ulaanbaatar,Meat (beef),KG,MNT,7544,2.66,6.3492063492,1.0634920635,0.807692308,9340.190476
2017-04-15,Ulaanbaatar,Meat (beef),KG,MNT,7986,2.82,6.3492063492,1.0634920635,0.807692308,9887.428571
2017-05-15,Ulaanbaatar,Meat (beef),KG,MNT,8229,2.9,6.3492063492,1.0634920635,0.807692308,10188.28571
2017-06-15,Ulaanbaatar,Meat (beef),KG,MNT,7901,2.79,6.3492063492,1.0634920635,0.807692308,9782.190476
2017-07-15,Ulaanbaatar,Meat (beef),KG,MNT,7835,2.76,6.3492063492,1.0634920635,0.807692308,9700.47619
2017-08-15,Ulaanbaatar,Meat (beef),KG,MNT,7373,2.6,6.3492063492,1.0634920635,0.807692308,9128.47619
2017-09-15,Ulaanbaatar,Meat (beef),KG,MNT,7251,2.56,6.3492063492,1.0634920635,0.807692308,8977.428571
2017-10-15,Ulaanbaatar,Meat (beef),KG,MNT,6946,2.45,6.3492063492,1.0634920635,0.807692308,8599.809524
2017-11-15,Ulaanbaatar,Meat (beef),KG,MNT,6708,2.36,6.3492063492,1.0634920635,0.807692308,8305.142857
2017-12-15,Ulaanbaatar,Meat (beef),KG,MNT,6504,2.29,6.3492063492,1.0634920635,0.807692308,8052.571429
2018-01-15,Ulaanbaatar,Meat (beef),KG,MNT,6610,2.33,8.2089552239,1.0820895522,0.858974359,7695.223881
2018-02-15,Ulaanbaatar,Meat (beef),KG,MNT,7111,2.51,8.2089552239,1.0820895522,0.858974359,8278.477612
2018-03-15,Ulaanbaatar,Meat (beef),KG,MNT,7729,2.72,8.2089552239,1.0820895522,0.858974359,8997.940299
2018-04-15,Ulaanbaatar,Meat (beef),KG,MNT,8361,2.95,8.2089552239,1.0820895522,0.858974359,9733.701493
2018-05-15,Ulaanbaatar,Meat (beef),KG,MNT,8463,2.98,8.2089552239,1.0820895522,0.858974359,9852.447761
2018-06-15,Ulaanbaatar,Meat (beef),KG,MNT,8733,3.08,8.2089552239,1.0820895522,0.858974359,10166.77612
2018-07-15,Ulaanbaatar,Meat (beef),KG,MNT,9082,3.2,8.2089552239,1.0820895522,0.858974359,10573.07463
2018-08-15,Ulaanbaatar,Meat (beef),KG,MNT,8218,2.9,8.2089552239,1.0820895522,0.858974359,9567.223881
2018-09-15,Ulaanbaatar,Meat (beef),KG,MNT,7781,2.74,8.2089552239,1.0820895522,0.858974359,9058.477612
2018-10-15,Ulaanbaatar,Meat (beef),KG,MNT,7844,2.77,8.2089552239,1.0820895522,0.858974359,9131.820896
2018-11-15,Ulaanbaatar,Meat (beef),KG,MNT,8002,2.82,8.2089552239,1.0820895522,0.858974359,9315.761194
2018-12-15,Ulaanbaatar,Meat (beef),KG,MNT,8300,2.93,8.2089552239,1.0820895522,0.858974359,9662.686567
2019-01-15,Ulaanbaatar,Meat (beef),KG,MNT,8855,3.12,5.1724137931,1.0517241379,0.929487179,9526.758621
2019-02-15,Ulaanbaatar,Meat (beef),KG,MNT,8901,3.14,5.1724137931,1.0517241379,0.929487179,9576.248276
2019-03-15,Ulaanbaatar,Meat (beef),KG,MNT,9376,3.31,5.1724137931,1.0517241379,0.929487179,10087.28276
2019-04-15,Ulaanbaatar,Meat (beef),KG,MNT,9637,3.4,5.1724137931,1.0517241379,0.929487179,10368.08276
2019-05-15,Ulaanbaatar,Meat (beef),KG,MNT,10904,3.84,5.1724137931,1.0517241379,0.929487179,11731.2
2019-07-15,Ulaanbaatar,Meat (beef),KG,MNT,12280,4.33,5.1724137931,1.0517241379,0.929487179,13211.58621
2019-08-15,Ulaanbaatar,Meat (beef),KG,MNT,11537,4.07,5.1724137931,1.0517241379,0.929487179,12412.22069
2019-09-15,Ulaanbaatar,Meat (beef),KG,MNT,11537,4.07,5.1724137931,1.0517241379,0.929487179,12412.22069
2019-10-15,Ulaanbaatar,Meat (beef),KG,MNT,11138,3.93,5.1724137931,1.0517241379,0.929487179,11982.95172
2019-11-15,Ulaanbaatar,Meat (beef),KG,MNT,10103,3.56,5.1724137931,1.0517241379,0.929487179,10869.43448
2019-12-15,Ulaanbaatar,Meat (beef),KG,MNT,9554,3.37,5.1724137931,1.0517241379,0.929487179,10278.78621
2020-01-15,Ulaanbaatar,Meat (beef),KG,MNT,10524,3.71,2.2950819672,1.0229508197,0.977564103,10765.53443
2020-02-15,Ulaanbaatar,Meat (beef),KG,MNT,11412,4.02,2.2950819672,1.0229508197,0.977564103,11673.91475
2020-03-15,Ulaanbaatar,Meat (beef),KG,MNT,11660,4.11,2.2950819672,1.0229508197,0.977564103,11927.60656
2020-04-15,Ulaanbaatar,Meat (beef),KG,MNT,11735,4.14,2.2950819672,1.0229508197,0.977564103,12004.32787
2020-05-15,Ulaanbaatar,Meat (beef),KG,MNT,11939,4.21,2.2950819672,1.0229508197,0.977564103,12213.00984
2020-06-15,Ulaanbaatar,Meat (beef),KG,MNT,12640,4.46,2.2950819672,1.0229508197,0.977564103,12930.09836
2020-07-15,Ulaanbaatar,Meat (beef),KG,MNT,12758,4.5,2.2950819672,1.0229508197,0.977564103,13050.80656
2020-08-15,Ulaanbaatar,Meat (beef),KG,MNT,11751,4.14,2.2950819672,1.0229508197,0.977564103,12020.69508
2020-09-15,Ulaanbaatar,Meat (beef),KG,MNT,11237,3.96,2.2950819672,1.0229508197,0.977564103,11494.89836
2020-10-15,Ulaanbaatar,Meat (beef),KG,MNT,10684,3.77,2.2950819672,1.0229508197,0.977564103,10929.20656
2020-11-15,Ulaanbaatar,Meat (beef),KG,MNT,11074,3.9,2.2950819672,1.0229508197,0.977564103,11328.15738
2020-12-15,Ulaanbaatar,Meat (beef),KG,MNT,11208,3.95,2.2950819672,1.0229508197,0.977564103,11465.23279
2021-01-15,Ulaanbaatar,Meat (beef),KG,MNT,11614,4.09,6.5000000000,1.0650000000,1,11614
2021-02-15,Ulaanbaatar,Meat (beef),KG,MNT,12606,4.44,6.5000000000,1.0650000000,1,12606
2021-03-15,Ulaanbaatar,Meat (beef),KG,MNT,12666,4.47,6.5000000000,1.0650000000,1,12666
2021-04-15,Ulaanbaatar,Meat (beef),KG,MNT,13853,4.88,6.5000000000,1.0650000000,1,13853
2021-05-15,Ulaanbaatar,Meat (beef),KG,MNT,13956,4.92,6.5000000000,1.0650000000,1,13956
2021-06-15,Ulaanbaatar,Meat (beef),KG,MNT,14768,5.21,6.5000000000,1.0650000000,1,14768
2021-07-15,Ulaanbaatar,Meat (beef),KG,MNT,14793,5.22,6.5000000000,1.0650000000,1,14793